text,label
hırsız demişken tuncay sizin şu 1 200 bin tl lik faturayı naptınız malum mi llete kitlesiniz ya sizden l hirsiz varmı bu ülkede banka soyarken k r maskesi ülke soyarken atatürk ün maskesi çoooooookk yüzsünüz chp olarak,True
ne bileyim sen hastayım deyince bende veteriner okumaya karar verdim,True
akşam eve gittiğimizde yorgunluğuma iyi gelecek bi bayan olmalı evde,True
kook un sesini 18381 kez dinledikten sonra eğer devam edersem ağlamaktan gözüm şişer annem ağzıma sıçar hangsang dinleyip enerji toplıyım,True
o macta adam 6 7 tane net sut cikartti aksini soleyen ya maldir yada futboldan anlamiyodur buna benzer bir pozisyon da wesley uzaktan attigi golun birinde de ayni pozisyon vardi ozaman bunu size en iyi volkan aciklar kudurun fesat ibneler,True
bimvea101demazotsatılsın bim ve a101 kaliteli ürün satıyor diyen a salaklar var ulan gramajlardan çalıyor haberiniz yok bir çok ünlü firmanın ürünlerini niye bulamıyorsunuz bim de,True
xiumin tam 1 keş ne kadar içiyorsa artık insanların vayy diyeceği şişe numaraları yapıyor çok kadın düşürmüştür diyecektim dr evde içiyor dddd,False
kahvehanede çok muhabbet etmişsin desteksiz at yav sana vekil diye önümüze koyanın amına koyum ben,True
ondan sonra bu sapık adam sikini bana sürttü,True
herkes aşk acısı çeker herkes ihanete ugrar herkes aldatılır peki bu aldatanlar kim biri da çıkıp desin ki ben aldattım ibneliğin en büyügünü yabdım,True
cunku ilgilenmiyorum azicik cool olun orjinal falan olun baskasindan otlanarak nereye kadar,True
diyarbakır ın dicle ilçesinde kahpe korkak emperyalizmin fahişeleri pkk tarafından tuzaklanan eyp ile 2 şehit olan yiğit vatansever askerlerimizin mekanları cennet olsun,True
ağlıyorum salaak sen nasıl bir şeysin beni sesine sakla,True
watsons ın 444 9 987 numarasında korktun muuu diyen beyinsiz konuşuyor inanılır gibi değil agahshsj,True
karını verde bi güzel sikeyim,True
kız kardeşimin arkadaşı gelip bizde kalmıştı 30 fava olanları anlatırım,False
bu hayat tarzını anlamak mümkün değil çoluk çocuk sahibi ol anne ol yani yine de bu şekilde barlarda fink at vay değer yargısı vay,True
serrod 26 points 9 assist mac sonu me yazın serrode cokmeyenler aglamasin,False
lord of the sıçırt çıkcak benden az kaldı,True
düğünümde babam söyleyin o damat olacak zibidiye kızımın etrafında dolaşıp durmasın,True
köpek soyu kürtlere verdiğin zararın hadi hasabı yok hain soyun kurusun inşallah birgül ailece geberip gidersin,True
çok azdım sikilecek am göt bulamıyorum bu gün mecidiyeköyde bir hanfediye gittim içime sinmedi sikişmeden döndüm,True
